Date,Series,Value
2017-04-03,Average Tone,-3.263
2017-04-04,Average Tone,-1.8794
2017-04-05,Average Tone,-2.3652
2017-04-06,Average Tone,-2.4062
2017-04-07,Average Tone,-2.1028
2017-04-08,Average Tone,-2.7723
2017-04-09,Average Tone,-1.5755
2017-04-10,Average Tone,-1.9119
2017-04-11,Average Tone,-1.353
2017-04-12,Average Tone,-2.2011
2017-04-13,Average Tone,-2.6105
2017-04-14,Average Tone,-2.3438
2017-04-15,Average Tone,-3.2202
2017-04-16,Average Tone,-4.7347
2017-04-17,Average Tone,-2.1553
2017-04-18,Average Tone,-2.9858
2017-04-19,Average Tone,-2.6145
2017-04-20,Average Tone,-2.4472
2017-04-21,Average Tone,-3.5639
2017-04-22,Average Tone,-2.6288
2017-04-23,Average Tone,-2.7097
2017-04-24,Average Tone,-4.8773
2017-04-25,Average Tone,-2.3765
2017-04-26,Average Tone,-2.7179
2017-04-27,Average Tone,-3.7801
2017-04-28,Average Tone,-3.8049
2017-04-29,Average Tone,-3.3355
2017-04-30,Average Tone,-1.6819
2017-05-01,Average Tone,-3.2723
2017-05-02,Average Tone,-2.9989
2017-05-03,Average Tone,-2.537
2017-05-04,Average Tone,-0.9089
2017-05-05,Average Tone,-1.7737
2017-05-06,Average Tone,-3.5754
2017-05-07,Average Tone,-1.7468
2017-05-08,Average Tone,-1.712
2017-05-09,Average Tone,-1.9502
2017-05-10,Average Tone,-2.1973
2017-05-11,Average Tone,-2.3887
2017-05-12,Average Tone,-3.1529
2017-05-13,Average Tone,-2.2309
2017-05-14,Average Tone,-1.8095
2017-05-15,Average Tone,-2.1512
2017-05-16,Average Tone,-2.1777
2017-05-17,Average Tone,-3.1681
2017-05-18,Average Tone,-3.0305
2017-05-19,Average Tone,-2.2346
2017-05-20,Average Tone,0.2839
2017-05-21,Average Tone,-2.0393
2017-05-22,Average Tone,-3.2584
2017-05-23,Average Tone,-2.6283
2017-05-24,Average Tone,-1.5737
2017-05-25,Average Tone,-1.888
2017-05-26,Average Tone,-2.5008
2017-05-27,Average Tone,-3.7883
2017-05-28,Average Tone,-5.1455
2017-05-29,Average Tone,-4.5941
2017-05-30,Average Tone,-5.9699
