Date,Series,Value
2017-04-03,Average Tone,-2.0152
2017-04-04,Average Tone,-2.342
2017-04-05,Average Tone,-2.6683
2017-04-06,Average Tone,-2.3117
2017-04-07,Average Tone,-2.1416
2017-04-08,Average Tone,-2.8296
2017-04-09,Average Tone,-1.9608
2017-04-10,Average Tone,-1.962
2017-04-11,Average Tone,-2.6014
2017-04-12,Average Tone,-2.2154
2017-04-13,Average Tone,-2.359
2017-04-14,Average Tone,-2.9019
2017-04-15,Average Tone,-3.3941
2017-04-16,Average Tone,-5.0421
2017-04-17,Average Tone,-2.7899
2017-04-18,Average Tone,-1.9395
2017-04-19,Average Tone,-2.4558
2017-04-20,Average Tone,-2.0134
2017-04-21,Average Tone,-1.8023
2017-04-22,Average Tone,-2.1753
2017-04-23,Average Tone,-2.8365
2017-04-24,Average Tone,-2.5872
2017-04-25,Average Tone,-2.7023
2017-04-26,Average Tone,-2.7879
2017-04-27,Average Tone,-2.9821
2017-04-28,Average Tone,-2.6793
2017-04-29,Average Tone,-2.6202
2017-04-30,Average Tone,-1.3856
2017-05-01,Average Tone,-2.1161
2017-05-02,Average Tone,-1.8963
2017-05-03,Average Tone,-1.3268
2017-05-04,Average Tone,-2.1172
2017-05-05,Average Tone,-1.8361
2017-05-06,Average Tone,-1.8402
2017-05-07,Average Tone,-1.6838
2017-05-08,Average Tone,-1.6217
2017-05-09,Average Tone,-1.9738
2017-05-10,Average Tone,-1.7934
2017-05-11,Average Tone,-2.6667
2017-05-12,Average Tone,-2.5831
2017-05-13,Average Tone,-1.6219
2017-05-14,Average Tone,-1.6417
2017-05-15,Average Tone,-2.2129
2017-05-16,Average Tone,-2.3104
2017-05-17,Average Tone,-2.483
2017-05-18,Average Tone,-2.9065
2017-05-19,Average Tone,-1.947
2017-05-20,Average Tone,-2.2632
2017-05-21,Average Tone,-1.4966
2017-05-22,Average Tone,-2.7368
2017-05-23,Average Tone,-2.2171
2017-05-24,Average Tone,-2.2083
2017-05-25,Average Tone,-2.3917
2017-05-26,Average Tone,-2.6599
2017-05-27,Average Tone,-2.6026
2017-05-28,Average Tone,-2.8915
2017-05-29,Average Tone,-2.1195
2017-05-30,Average Tone,-3.6825
