Date,Series,Value
2021-09-18,Average Tone,-6.5467
2021-09-19,Average Tone,-6.2767
2021-09-20,Average Tone,-3.173
2021-09-21,Average Tone,-2.8816
2021-09-22,Average Tone,-2.335
2021-09-23,Average Tone,-1.0788
2021-09-24,Average Tone,-1.6261
2021-09-25,Average Tone,-3.9103
2021-09-26,Average Tone,-2.3953
2021-09-27,Average Tone,-2.6204
2021-09-28,Average Tone,-2.526
2021-09-29,Average Tone,-2.66
2021-09-30,Average Tone,-2.4878
2021-10-01,Average Tone,-7.0052
2021-10-02,Average Tone,-5.2315
2021-10-03,Average Tone,-3.8341
2021-10-04,Average Tone,-3.7134
2021-10-05,Average Tone,-3.2625
2021-10-06,Average Tone,-3.1796
2021-10-07,Average Tone,-2.4653
2021-10-08,Average Tone,-0.5367
2021-10-09,Average Tone,-2.4906
2021-10-10,Average Tone,-3.9796
2021-10-11,Average Tone,-2.6938
2021-10-12,Average Tone,-2.136
2021-10-13,Average Tone,-2.4499
2021-10-14,Average Tone,-3.3729
2021-10-15,Average Tone,-4.7089
2021-10-16,Average Tone,-3.7049
2021-10-17,Average Tone,-3.717
2021-10-18,Average Tone,-3.1055
2021-10-19,Average Tone,-3.8012
2021-10-20,Average Tone,-3.5019
2021-10-21,Average Tone,-1.5617
2021-10-22,Average Tone,-2.2053
2021-10-23,Average Tone,-2.2394
2021-10-24,Average Tone,-2.6068
2021-10-25,Average Tone,-4.1751
2021-10-26,Average Tone,-2.7179
2021-10-27,Average Tone,-4.3406
2021-10-28,Average Tone,-3.7812
2021-10-29,Average Tone,-2.7387
2021-10-30,Average Tone,-3.0597
2021-10-31,Average Tone,-2.6059
2021-11-01,Average Tone,-2.7539
2021-11-02,Average Tone,-2.6695
2021-11-03,Average Tone,-2.0181
2021-11-04,Average Tone,-3.1763
2021-11-05,Average Tone,-2.2633
2021-11-06,Average Tone,-2.7002
2021-11-07,Average Tone,-2.9259
2021-11-08,Average Tone,-1.9978
2021-11-09,Average Tone,-2.4887
2021-11-10,Average Tone,-2.6958
2021-11-11,Average Tone,-3.0731
2021-11-12,Average Tone,-3.0359
2021-11-13,Average Tone,-1.8987
2021-11-14,Average Tone,-2.9823
2021-11-15,Average Tone,-6.7676
2021-11-16,Average Tone,-4.8887
2021-11-17,Average Tone,-2.9016
2021-11-18,Average Tone,-2.4624
2021-11-19,Average Tone,-3.5186
2021-11-20,Average Tone,-3.1872
2021-11-21,Average Tone,-4.3172
2021-11-22,Average Tone,-4.3482
2021-11-23,Average Tone,-4.6822
2021-11-24,Average Tone,-4.2687
2021-11-25,Average Tone,-2.2986
2021-11-26,Average Tone,-2.068
2021-11-27,Average Tone,-3.0589
2021-11-28,Average Tone,-3.0527
2021-11-29,Average Tone,-2.8653
2021-11-30,Average Tone,-1.9224
2021-12-01,Average Tone,-2.144
2021-12-02,Average Tone,-3.0294
2021-12-03,Average Tone,-4.26
2021-12-04,Average Tone,-2.864
2021-12-05,Average Tone,-2.11
2021-12-06,Average Tone,-2.6009
2021-12-07,Average Tone,-2.0381
2021-12-08,Average Tone,-2.7171
2021-12-09,Average Tone,-2.5736
2021-12-10,Average Tone,-2.6347
2021-12-11,Average Tone,-4.2116
2021-12-12,Average Tone,-3.4041
2021-12-13,Average Tone,-2.4224
2021-12-14,Average Tone,-2.8154
2021-12-15,Average Tone,-3.2366
2021-12-16,Average Tone,-2.78
2021-12-17,Average Tone,-3.5924
2021-12-18,Average Tone,-1.3722
2021-12-19,Average Tone,-2.6645
2021-12-20,Average Tone,-4.0613
2021-12-21,Average Tone,-3.5869
2021-12-22,Average Tone,-3.1229
2021-12-23,Average Tone,-3.6751
2021-12-24,Average Tone,-3.1724
2021-12-25,Average Tone,-2.4628
2021-12-26,Average Tone,-2.2758
2021-12-27,Average Tone,-2.5671
2021-12-28,Average Tone,-5.4435
2021-12-29,Average Tone,-5.3727
2021-12-30,Average Tone,-3.2055
2021-12-31,Average Tone,-2.877
2022-01-01,Average Tone,-2.9695
2022-01-02,Average Tone,-7.4091
2022-01-03,Average Tone,-3.3978
2022-01-04,Average Tone,-2.9893
2022-01-05,Average Tone,-3.4288
2022-01-06,Average Tone,-2.6458
2022-01-07,Average Tone,-3.3974
2022-01-08,Average Tone,-4.2196
2022-01-09,Average Tone,-2.8298
2022-01-10,Average Tone,-2.7497
2022-01-11,Average Tone,-2.2819
2022-01-12,Average Tone,-1.7446
2022-01-13,Average Tone,-2.6201
2022-01-14,Average Tone,-4.2976
2022-01-15,Average Tone,-2.4617
2022-01-16,Average Tone,-2.7677
2022-01-17,Average Tone,-3.0519
2022-01-18,Average Tone,-1.7782
2022-01-19,Average Tone,-2.484
2022-01-20,Average Tone,-2.4314
2022-01-21,Average Tone,-4.6662
2022-01-22,Average Tone,-2.5668
2022-01-23,Average Tone,-3.8168
2022-01-24,Average Tone,-3.349
2022-01-25,Average Tone,-3.0948
2022-01-26,Average Tone,-1.9022
2022-01-27,Average Tone,-3.0719
2022-01-28,Average Tone,-2.5229
2022-01-29,Average Tone,-2.5836
2022-01-30,Average Tone,-3.4793
2022-01-31,Average Tone,-3.3557
2022-02-01,Average Tone,-2.5793
2022-02-02,Average Tone,-2.8694
2022-02-03,Average Tone,-3.3114
2022-02-04,Average Tone,-2.7593
2022-02-05,Average Tone,-3.1987
2022-02-06,Average Tone,-2.7085
2022-02-07,Average Tone,-1.9592
2022-02-08,Average Tone,-2.7479
2022-02-09,Average Tone,-2.5122
2022-02-10,Average Tone,-2.826
2022-02-11,Average Tone,-5.6485
2022-02-12,Average Tone,-5.7567
2022-02-13,Average Tone,-3.0103
2022-02-14,Average Tone,-1.8042
2022-02-15,Average Tone,-3.397
2022-02-16,Average Tone,-3.8699
2022-02-17,Average Tone,-3.4938
2022-02-18,Average Tone,-1.8724
2022-02-19,Average Tone,-3.2952
2022-02-20,Average Tone,-1.8847
2022-02-21,Average Tone,-1.4224
