Date,Series,Value
2019-09-20,Average Tone,-2.8504
2019-09-21,Average Tone,-1.9603
2019-09-22,Average Tone,-1.809
2019-09-23,Average Tone,-3.2797
2019-09-24,Average Tone,-2.4001
2019-09-25,Average Tone,-2.1558
2019-09-26,Average Tone,-4.1493
2019-09-27,Average Tone,-1.4438
2019-09-28,Average Tone,-2.9659
2019-09-29,Average Tone,-2.1174
2019-09-30,Average Tone,-2.5627
2019-10-01,Average Tone,-2.4288
2019-10-02,Average Tone,-2.7789
2019-10-03,Average Tone,-2.6136
2019-10-04,Average Tone,-2.2807
2019-10-05,Average Tone,-2.3206
2019-10-06,Average Tone,-2.1314
2019-10-07,Average Tone,-2.8036
2019-10-08,Average Tone,-2.1121
2019-10-09,Average Tone,-1.5146
2019-10-10,Average Tone,-1.5936
2019-10-11,Average Tone,-2.1527
2019-10-12,Average Tone,-2.8228
2019-10-13,Average Tone,-2.3392
2019-10-14,Average Tone,-3.1684
2019-10-15,Average Tone,-2.3781
2019-10-16,Average Tone,-2.2457
2019-10-17,Average Tone,-2.1801
2019-10-18,Average Tone,-2.5902
2019-10-19,Average Tone,-3.5762
2019-10-20,Average Tone,-2.6424
2019-10-21,Average Tone,-2.4621
2019-10-22,Average Tone,-2.6455
2019-10-23,Average Tone,-2.8097
2019-10-24,Average Tone,-3.0162
2019-10-25,Average Tone,-2.5535
2019-10-26,Average Tone,-3.0966
2019-10-27,Average Tone,-2.3629
2019-10-28,Average Tone,-2.5141
2019-10-29,Average Tone,-2.7444
2019-10-30,Average Tone,-1.9137
2019-10-31,Average Tone,-1.8053
2019-11-01,Average Tone,-2.7823
2019-11-02,Average Tone,-2.3964
2019-11-03,Average Tone,-2.9149
2019-11-04,Average Tone,-2.3454
2019-11-05,Average Tone,-2.2573
2019-11-06,Average Tone,-2.8836
2019-11-07,Average Tone,-2.3892
2019-11-08,Average Tone,-2.6933
2019-11-09,Average Tone,-4.1603
2019-11-10,Average Tone,-2.5312
2019-11-11,Average Tone,-3.4538
2019-11-12,Average Tone,-3.4503
2019-11-13,Average Tone,-3.2699
2019-11-14,Average Tone,-3.3169
2019-11-15,Average Tone,-3.6884
2019-11-16,Average Tone,-2.4757
2019-11-17,Average Tone,-3.2589
2019-11-18,Average Tone,-2.4348
2019-11-19,Average Tone,-3.8499
2019-11-20,Average Tone,-2.4332
2019-11-21,Average Tone,-2.7425
2019-11-22,Average Tone,-3.8135
2019-11-23,Average Tone,-3.5503
2019-11-24,Average Tone,-2.5691
2019-11-25,Average Tone,-2.9454
2019-11-26,Average Tone,-1.9362
2019-11-27,Average Tone,-1.2919
2019-11-28,Average Tone,-1.2817
2019-11-29,Average Tone,-1.932
2019-11-30,Average Tone,-3.3318
2019-12-01,Average Tone,-1.7071
2019-12-02,Average Tone,-1.5814
2019-12-03,Average Tone,-2.4514
2019-12-04,Average Tone,-2.4958
2019-12-05,Average Tone,-3.3166
2019-12-06,Average Tone,-3.3402
2019-12-07,Average Tone,-3.9615
2019-12-08,Average Tone,-2.3047
2019-12-09,Average Tone,-3.3713
2019-12-10,Average Tone,-3.0184
2019-12-11,Average Tone,-3.5473
2019-12-12,Average Tone,-3.4575
2019-12-13,Average Tone,-3.0013
2019-12-14,Average Tone,-2.8549
2019-12-15,Average Tone,-2.1173
2019-12-16,Average Tone,-2.4819
2019-12-17,Average Tone,-2.2812
2019-12-18,Average Tone,-2.7683
2019-12-19,Average Tone,-2.5139
2019-12-20,Average Tone,-2.4
2019-12-21,Average Tone,-3.4327
2019-12-22,Average Tone,-2.2461
2019-12-23,Average Tone,-0.6247
2019-12-24,Average Tone,-2.0279
2019-12-25,Average Tone,-2.3156
2019-12-26,Average Tone,-4.9892
2019-12-27,Average Tone,-2.8609
2019-12-28,Average Tone,-1.8048
2019-12-29,Average Tone,-3.5107
2019-12-30,Average Tone,-3.207
2019-12-31,Average Tone,-3.4934
2020-01-01,Average Tone,-3.0404
2020-01-02,Average Tone,-2.3761
2020-01-03,Average Tone,-1.8517
2020-01-04,Average Tone,-1.8451
2020-01-05,Average Tone,-4.4383
2020-01-06,Average Tone,-2.4892
2020-01-07,Average Tone,-3.4719
2020-01-08,Average Tone,-3.2515
2020-01-09,Average Tone,-2.9728
2020-01-10,Average Tone,-3.0818
2020-01-11,Average Tone,-1.689
2020-01-12,Average Tone,-1.6527
2020-01-13,Average Tone,-3.2134
2020-01-14,Average Tone,-3.0047
2020-01-15,Average Tone,-3.4463
2020-01-16,Average Tone,-3.5535
2020-01-17,Average Tone,-3.4448
2020-01-18,Average Tone,-2.6844
2020-01-19,Average Tone,-2.0998
2020-01-20,Average Tone,-1.538
2020-01-21,Average Tone,-4.1233
2020-01-22,Average Tone,-3.513
2020-01-23,Average Tone,-4.0105
2020-01-24,Average Tone,-1.9593
2020-01-25,Average Tone,-2.0161
2020-01-26,Average Tone,-1.8782
2020-01-27,Average Tone,-2.181
